epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3273,1.73477,4.59069,1.53452,0.00011,0.03448,6e-05,2e-05,1.25803,4.38688,1.55557,0.00012,0.00012,0.00012
2,30.6906,1.1239,3.70477,1.06421,0.00333,1,0.85933,0.51223,0.88464,3.55089,0.8538,0.000258284,0.000258284,0.000258284
3,44.3978,1.22406,2.82667,1.07593,0.00333,1,0.7559,0.36237,1.05274,3.572,0.9372,0.00039472,0.00039472,0.00039472
4,49.7975,1.15502,2.02121,1.03477,0.00333,1,0.07031,0.02965,0.98726,3.66071,0.94826,0.000529308,0.000529308,0.000529308
5,63.2291,1.12518,2.02532,1.03671,0.00333,1,0.00722,0.00408,0.85009,3.54203,0.90871,0.000662048,0.000662048,0.000662048
6,79.6279,1.02715,1.93139,1.02906,0.00333,1,0.00589,0.00385,1.11474,3.67708,1.01694,0.00079294,0.00079294,0.00079294
7,94.3138,1.15986,1.87589,1.01414,0.00132,0.39655,0.00096,0.00032,3.11571,7.34338,2.36911,0.000921984,0.000921984,0.000921984
8,101.723,1.03886,1.52959,0.95387,0.00052,0.15517,0.03531,0.02465,3.80188,7.35264,3.8203,0.00104918,0.00104918,0.00104918
9,111.733,1.13189,1.57361,1.01589,0.00138,0.41379,0.08493,0.06067,2.12516,4.76687,1.9947,0.00117453,0.00117453,0.00117453
10,123.86,1.06094,1.51286,0.98249,0.73156,0.04791,0.28925,0.20526,1.32379,4.10708,1.23916,0.00129803,0.00129803,0.00129803
11,144.321,0.95815,1.58413,0.99765,1,0.16028,0.59968,0.44646,1.06064,3.15884,1.07566,0.00141968,0.00141968,0.00141968
12,155.645,0.951,1.38258,0.96432,1,0.55357,0.90504,0.67855,0.94642,2.66273,0.99713,0.00153948,0.00153948,0.00153948
13,158.716,1.03412,1.26428,0.96907,0.96225,0.87904,0.96574,0.71034,0.9703,2.13222,0.95463,0.00165744,0.00165744,0.00165744
14,165.715,1.08758,1.15462,0.95336,0.88331,0.78319,0.91407,0.62631,1.11287,1.8853,0.98937,0.00177355,0.00177355,0.00177355
15,178.363,1.08082,1.26453,1.00621,0.94728,0.82759,0.91903,0.59745,1.18434,1.74796,1.01249,0.0018152,0.0018152,0.0018152
16,196.23,1.02993,1.22356,1.00142,0.93983,0.89655,0.94184,0.67456,1.04748,1.46846,1.01263,0.001802,0.001802,0.001802
17,217.237,1.05355,1.20344,1.00274,0.9821,0.94623,0.99115,0.68301,1.1205,1.27606,0.96937,0.0017888,0.0017888,0.0017888
18,234.829,0.95882,1.06907,0.95891,0.94368,0.96552,0.98955,0.70984,0.97927,1.00501,1.02329,0.0017756,0.0017756,0.0017756
19,239.058,1.02198,1.00504,0.976,0.94715,0.92699,0.95139,0.65786,1.00379,0.96393,0.97463,0.0017624,0.0017624,0.0017624
20,253.403,0.99355,1.08317,0.98378,0.98787,0.94828,0.98421,0.68982,0.98396,0.89617,0.94692,0.0017492,0.0017492,0.0017492
21,270.935,1.06921,1.0881,1.01711,0.80876,0.96552,0.94157,0.69824,0.94858,0.86035,0.96266,0.001736,0.001736,0.001736
22,282.866,1.13613,0.9808,0.99214,0.97846,0.98276,0.97884,0.71744,0.93133,0.79666,0.96184,0.0017228,0.0017228,0.0017228
23,297.793,1.00729,0.8982,0.9655,0.86999,0.92304,0.94811,0.73249,0.86367,1.53607,0.95379,0.0017096,0.0017096,0.0017096
24,311.903,1.08875,1.00681,0.99863,0.96414,0.98276,0.97128,0.74618,0.93972,0.77569,0.95106,0.0016964,0.0016964,0.0016964
25,326.126,0.95672,0.95452,0.97166,0.97936,0.96552,0.9808,0.65751,1.08665,0.8339,0.9715,0.0016832,0.0016832,0.0016832
26,338.618,0.98965,0.87182,0.97631,0.98201,0.94133,0.97668,0.76111,0.8126,0.65909,0.91639,0.00167,0.00167,0.00167
27,347.724,0.92754,0.87464,0.95074,0.97915,0.96552,0.99087,0.74703,0.90269,0.67176,0.898,0.0016568,0.0016568,0.0016568
28,354.159,0.95627,0.78211,0.93238,0.97196,0.98276,0.99451,0.78005,0.84971,0.7005,0.90515,0.0016436,0.0016436,0.0016436
29,370.744,0.96762,0.82613,0.95002,0.98297,0.99543,0.99398,0.78226,0.81775,0.60383,0.8974,0.0016304,0.0016304,0.0016304
30,393.049,0.87492,0.82893,0.95378,0.98951,0.98276,0.99467,0.73976,0.91258,0.60482,0.89133,0.0016172,0.0016172,0.0016172
31,403.549,0.9294,0.76999,0.91873,0.93442,0.9826,0.97346,0.76739,0.83004,0.69908,0.89163,0.001604,0.001604,0.001604
32,419.188,0.88147,0.77835,0.93415,0.94638,0.98276,0.9749,0.74551,0.85279,0.63913,0.88231,0.0015908,0.0015908,0.0015908
33,435.394,0.84684,0.76228,0.93356,0.94377,0.94828,0.9552,0.75123,0.8822,0.67463,0.9014,0.0015776,0.0015776,0.0015776
34,448.369,0.86897,0.74107,0.93576,0.91653,0.98276,0.94461,0.70047,0.97142,0.67149,0.92411,0.0015644,0.0015644,0.0015644
35,459.729,0.84338,0.76225,0.92076,0.96643,0.94828,0.98185,0.75119,0.89135,0.57714,0.89288,0.0015512,0.0015512,0.0015512
36,476.584,0.87186,0.70034,0.92169,0.96475,1,0.99398,0.81987,0.71164,0.57334,0.86056,0.001538,0.001538,0.001538
37,483.026,0.80917,0.67006,0.90737,0.99596,0.98276,0.99467,0.79068,0.73215,0.5121,0.86542,0.0015248,0.0015248,0.0015248
38,499.045,0.94043,0.71772,0.93106,1,0.96541,0.99325,0.73531,0.92234,0.57295,0.89162,0.0015116,0.0015116,0.0015116
39,508.006,0.87002,0.67338,0.92087,0.99816,0.98276,0.99366,0.78876,0.76416,0.57739,0.88291,0.0014984,0.0014984,0.0014984
40,511.73,0.86388,0.68653,0.90435,1,0.99482,0.995,0.82321,0.72797,0.53637,0.87899,0.0014852,0.0014852,0.0014852
41,521.882,0.94333,0.70763,0.91877,0.94487,1,0.99317,0.80738,0.71731,0.57466,0.86661,0.001472,0.001472,0.001472
42,540.192,0.88907,0.65965,0.93011,0.97657,1,0.995,0.77404,0.79283,0.52009,0.88719,0.0014588,0.0014588,0.0014588
43,552.931,0.9207,0.67632,0.93028,0.9943,1,0.995,0.80979,0.71336,0.57271,0.87542,0.0014456,0.0014456,0.0014456
44,569.442,0.76807,0.61977,0.9263,0.99744,1,0.995,0.82115,0.71993,0.53346,0.87939,0.0014324,0.0014324,0.0014324
45,586.159,0.87806,0.64417,0.91115,0.97759,0.98276,0.98487,0.67187,1.11343,0.70997,0.95423,0.0014192,0.0014192,0.0014192
46,597.381,0.86156,0.65003,0.93324,0.99222,0.98276,0.98508,0.79961,0.74743,0.58008,0.88366,0.001406,0.001406,0.001406
47,622.946,0.83854,0.63535,0.94045,1,0.97721,0.98517,0.75023,0.87612,0.596,0.90406,0.0013928,0.0013928,0.0013928
48,630.706,0.78161,0.59197,0.92014,0.99031,0.98276,0.99421,0.74917,0.84843,0.54814,0.91287,0.0013796,0.0013796,0.0013796
49,633.399,0.90498,0.67763,0.90705,0.96605,0.98124,0.99019,0.76112,0.89957,0.53919,0.94094,0.0013664,0.0013664,0.0013664
50,642.812,0.8503,0.61031,0.8929,0.93528,0.99666,0.97889,0.82602,0.66528,0.49303,0.86218,0.0013532,0.0013532,0.0013532
51,656.165,0.76423,0.60048,0.9215,0.97893,0.98276,0.99358,0.8011,0.78437,0.48593,0.87659,0.00134,0.00134,0.00134
52,662.484,0.76967,0.59478,0.88168,0.99794,0.98276,0.99,0.78903,0.79539,0.5149,0.87997,0.0013268,0.0013268,0.0013268
53,671.796,0.74862,0.57448,0.88579,0.99886,0.98276,0.99379,0.81151,0.72288,0.47508,0.86006,0.0013136,0.0013136,0.0013136
54,682.709,0.74533,0.5796,0.88527,0.96578,0.98276,0.99036,0.83262,0.7159,0.46487,0.85872,0.0013004,0.0013004,0.0013004
55,690.896,0.75317,0.54199,0.87516,0.94737,0.98276,0.99071,0.84461,0.6508,0.50207,0.85519,0.0012872,0.0012872,0.0012872
56,704.779,0.73323,0.55301,0.91077,0.99459,0.98276,0.99329,0.84794,0.66916,0.43166,0.84634,0.001274,0.001274,0.001274
57,718.443,0.79355,0.57978,0.88006,0.97927,0.98276,0.99382,0.83588,0.6888,0.47536,0.85877,0.0012608,0.0012608,0.0012608
58,728.652,0.75594,0.60732,0.91675,0.98502,0.98276,0.99435,0.83753,0.69672,0.45167,0.86469,0.0012476,0.0012476,0.0012476
59,739.861,0.73293,0.56303,0.88882,0.99811,0.98276,0.99152,0.83579,0.66399,0.42295,0.85526,0.0012344,0.0012344,0.0012344
60,750.252,0.74768,0.55079,0.90896,1,0.98247,0.99435,0.82144,0.74075,0.45271,0.86352,0.0012212,0.0012212,0.0012212
61,758.306,0.81392,0.55706,0.87685,1,0.98201,0.99483,0.8084,0.79908,0.46609,0.87457,0.001208,0.001208,0.001208
62,772.236,0.7337,0.53338,0.88101,1,0.98216,0.99451,0.84885,0.66281,0.44922,0.85475,0.0011948,0.0011948,0.0011948
63,789.325,0.72293,0.53442,0.88474,0.99601,0.98276,0.99467,0.81272,0.76156,0.41967,0.85744,0.0011816,0.0011816,0.0011816
64,806.854,0.72703,0.52279,0.89511,1,0.98257,0.99366,0.82776,0.68185,0.46233,0.83968,0.0011684,0.0011684,0.0011684
65,825.232,0.68199,0.50352,0.89914,0.99783,0.98276,0.99421,0.79866,0.81106,0.43518,0.86312,0.0011552,0.0011552,0.0011552
66,846.581,0.74117,0.5434,0.9015,0.99895,1,0.995,0.85793,0.61382,0.38749,0.84008,0.001142,0.001142,0.001142
67,853.108,0.69416,0.51363,0.86782,0.9958,0.98276,0.99483,0.84037,0.67997,0.40289,0.84585,0.0011288,0.0011288,0.0011288
68,874.059,0.7307,0.52274,0.88456,0.99509,0.98276,0.99421,0.83117,0.66707,0.415,0.84719,0.0011156,0.0011156,0.0011156
69,881.489,0.77316,0.53665,0.87026,0.9935,0.98276,0.99392,0.83087,0.66223,0.42712,0.85672,0.0011024,0.0011024,0.0011024
70,885.93,0.69476,0.52211,0.8571,0.99832,0.98276,0.99451,0.84231,0.69791,0.40545,0.8609,0.0010892,0.0010892,0.0010892
71,898.354,0.68784,0.49612,0.88859,0.9998,1,0.995,0.85253,0.65679,0.40873,0.84532,0.001076,0.001076,0.001076
72,916.577,0.68378,0.52427,0.88952,0.99657,0.98276,0.99379,0.82314,0.65355,0.42692,0.84481,0.0010628,0.0010628,0.0010628
73,933.804,0.64835,0.48686,0.88312,0.99666,0.98276,0.99207,0.84613,0.63151,0.41889,0.84233,0.0010496,0.0010496,0.0010496
74,946.81,0.77735,0.50725,0.87848,0.99783,0.98276,0.98833,0.82531,0.6591,0.43505,0.85198,0.0010364,0.0010364,0.0010364
75,962.534,0.71845,0.48202,0.87482,0.99661,0.98276,0.98972,0.83531,0.69021,0.45212,0.85794,0.0010232,0.0010232,0.0010232
76,972.073,0.72922,0.4991,0.87212,0.99593,0.98276,0.99451,0.82598,0.68815,0.42296,0.84473,0.00101,0.00101,0.00101
77,977.656,0.71949,0.4877,0.85947,0.99906,1,0.995,0.83674,0.68498,0.41781,0.84706,0.0009968,0.0009968,0.0009968
78,988.754,0.71821,0.52479,0.88849,0.99762,1,0.995,0.81152,0.75183,0.4173,0.85518,0.0009836,0.0009836,0.0009836
79,1006.44,0.725,0.49347,0.87691,1,0.99766,0.995,0.8526,0.62597,0.41893,0.84961,0.0009704,0.0009704,0.0009704
80,1023.74,0.73848,0.51593,0.86367,1,0.97993,0.99234,0.81478,0.69515,0.42488,0.85016,0.0009572,0.0009572,0.0009572
81,1047.14,0.69013,0.4736,0.86578,0.99801,0.96552,0.99325,0.84578,0.65038,0.4177,0.84359,0.000944,0.000944,0.000944
82,1058.27,0.67661,0.47143,0.87547,1,0.98267,0.99421,0.8489,0.62842,0.41974,0.83384,0.0009308,0.0009308,0.0009308
83,1082.04,0.68014,0.50062,0.88462,1,0.99927,0.995,0.85002,0.66667,0.39742,0.8329,0.0009176,0.0009176,0.0009176
84,1088.13,0.68741,0.48071,0.87486,0.9994,1,0.995,0.87881,0.60902,0.37214,0.83857,0.0009044,0.0009044,0.0009044
85,1099.45,0.6582,0.45045,0.8681,1,0.99872,0.995,0.85521,0.60495,0.37454,0.83243,0.0008912,0.0008912,0.0008912
86,1108.78,0.69566,0.46765,0.8733,0.99449,0.98276,0.99451,0.85869,0.59692,0.37928,0.83401,0.000878,0.000878,0.000878
87,1127.58,0.63826,0.44506,0.85443,0.98175,1,0.99483,0.83755,0.67023,0.3967,0.83815,0.0008648,0.0008648,0.0008648
88,1134.51,0.68168,0.44868,0.86724,0.99838,0.98276,0.99467,0.86042,0.59343,0.36058,0.83402,0.0008516,0.0008516,0.0008516
89,1137.67,0.67302,0.45399,0.85807,0.99756,0.98276,0.99451,0.87622,0.56425,0.37139,0.8301,0.0008384,0.0008384,0.0008384
90,1143.97,0.63878,0.42662,0.84776,0.99719,0.98276,0.99467,0.8637,0.63042,0.36271,0.843,0.0008252,0.0008252,0.0008252
91,1147.39,0.64195,0.43184,0.84856,0.99592,0.98276,0.99467,0.86364,0.60885,0.37225,0.84223,0.000812,0.000812,0.000812
92,1150.31,0.67614,0.44096,0.85411,0.99768,0.98276,0.99435,0.87281,0.60536,0.34834,0.83239,0.0007988,0.0007988,0.0007988
93,1160.69,0.66988,0.44367,0.86603,1,0.99835,0.995,0.85388,0.63298,0.35797,0.83197,0.0007856,0.0007856,0.0007856
94,1169.77,0.66504,0.46025,0.84298,0.98302,0.9982,0.99483,0.85145,0.61773,0.36375,0.82901,0.0007724,0.0007724,0.0007724
95,1177.83,0.64718,0.44373,0.85646,0.983,1,0.99449,0.8644,0.56684,0.36352,0.82402,0.0007592,0.0007592,0.0007592
96,1182.52,0.58951,0.41537,0.84867,1,0.99907,0.995,0.87174,0.59488,0.36287,0.82817,0.000746,0.000746,0.000746
97,1201.28,0.62933,0.421,0.86049,1,0.99932,0.995,0.86831,0.60994,0.35259,0.83468,0.0007328,0.0007328,0.0007328
98,1218.05,0.60674,0.42796,0.85954,0.99877,1,0.995,0.87289,0.57441,0.35379,0.82863,0.0007196,0.0007196,0.0007196
99,1224.12,0.57668,0.40192,0.85035,1,0.99794,0.995,0.85459,0.59137,0.35718,0.83266,0.0007064,0.0007064,0.0007064
100,1232.37,0.6002,0.42547,0.85581,1,0.99856,0.995,0.86573,0.59408,0.35569,0.82692,0.0006932,0.0006932,0.0006932
101,1239.61,0.61625,0.43521,0.85288,0.99815,0.98276,0.99451,0.87948,0.59325,0.3541,0.83177,0.00068,0.00068,0.00068
102,1258.86,0.60197,0.43831,0.85008,0.99245,0.98276,0.99467,0.88007,0.55147,0.34601,0.83173,0.0006668,0.0006668,0.0006668
103,1276.1,0.58341,0.42153,0.86525,0.98252,1,0.99483,0.86633,0.57101,0.34875,0.82897,0.0006536,0.0006536,0.0006536
104,1282.48,0.56119,0.41601,0.83818,1,0.99693,0.995,0.88975,0.5366,0.35275,0.82367,0.0006404,0.0006404,0.0006404
105,1287.59,0.61839,0.41403,0.83906,0.99801,1,0.995,0.8648,0.58259,0.37021,0.8335,0.0006272,0.0006272,0.0006272
106,1303.76,0.58559,0.41671,0.86237,0.99453,1,0.995,0.87753,0.56668,0.35969,0.82808,0.000614,0.000614,0.000614
107,1309.21,0.55989,0.38064,0.84453,0.99739,1,0.995,0.85745,0.6044,0.35463,0.83109,0.0006008,0.0006008,0.0006008
108,1324.04,0.58021,0.38819,0.86332,0.99742,1,0.995,0.88472,0.56433,0.32417,0.83193,0.0005876,0.0005876,0.0005876
109,1334.54,0.62326,0.41865,0.85081,0.99646,1,0.995,0.86319,0.654,0.33911,0.83798,0.0005744,0.0005744,0.0005744
110,1349.77,0.56075,0.39739,0.84737,0.99576,1,0.995,0.86315,0.61296,0.34335,0.83757,0.0005612,0.0005612,0.0005612
111,1357.35,0.57429,0.39701,0.83828,0.99613,1,0.995,0.86063,0.61609,0.3385,0.83593,0.000548,0.000548,0.000548
112,1368.67,0.61488,0.40555,0.8498,0.99823,1,0.995,0.86739,0.59921,0.33341,0.83445,0.0005348,0.0005348,0.0005348
113,1378.16,0.55,0.38639,0.83846,0.99849,1,0.995,0.87424,0.56844,0.32659,0.82912,0.0005216,0.0005216,0.0005216
114,1387.04,0.54857,0.38163,0.83857,0.99826,1,0.995,0.88574,0.55059,0.30262,0.82295,0.0005084,0.0005084,0.0005084
115,1394.82,0.56393,0.39296,0.83534,0.99832,1,0.995,0.88346,0.54023,0.31612,0.81964,0.0004952,0.0004952,0.0004952
116,1404.81,0.54377,0.37587,0.83041,0.9962,1,0.995,0.88002,0.55389,0.33042,0.82423,0.000482,0.000482,0.000482
117,1422.78,0.52686,0.39908,0.85685,0.99641,1,0.995,0.8742,0.57271,0.34719,0.82575,0.0004688,0.0004688,0.0004688
118,1437.64,0.56513,0.38373,0.85189,0.99423,0.98276,0.99451,0.86367,0.62699,0.36088,0.82727,0.0004556,0.0004556,0.0004556
119,1449.34,0.54199,0.38598,0.83189,0.99089,0.98276,0.99435,0.8724,0.57367,0.35168,0.82148,0.0004424,0.0004424,0.0004424
120,1458.14,0.54832,0.37933,0.83176,0.99388,0.98276,0.99483,0.87273,0.57244,0.34791,0.82183,0.0004292,0.0004292,0.0004292
121,1471.77,0.49566,0.35828,0.85063,0.97946,1,0.99483,0.86895,0.57453,0.34005,0.82173,0.000416,0.000416,0.000416
122,1486.3,0.49703,0.36332,0.83851,0.98101,1,0.99483,0.86981,0.58698,0.34864,0.82722,0.0004028,0.0004028,0.0004028
123,1497.99,0.53467,0.38121,0.82921,0.99432,1,0.995,0.87198,0.57304,0.32862,0.825,0.0003896,0.0003896,0.0003896
124,1505.9,0.56173,0.37898,0.84235,0.99661,1,0.995,0.87654,0.57242,0.32185,0.82515,0.0003764,0.0003764,0.0003764
125,1514.41,0.59946,0.39095,0.84197,0.99729,1,0.995,0.8783,0.57332,0.31021,0.82563,0.0003632,0.0003632,0.0003632
126,1531.13,0.52611,0.36003,0.84302,0.998,1,0.995,0.8735,0.55631,0.29605,0.82544,0.00035,0.00035,0.00035
127,1535.69,0.50051,0.35415,0.83853,0.99826,1,0.995,0.86902,0.57219,0.31896,0.82624,0.0003368,0.0003368,0.0003368
128,1547.29,0.51036,0.35887,0.83206,0.99866,1,0.995,0.88375,0.55861,0.31288,0.82078,0.0003236,0.0003236,0.0003236
129,1556,0.51843,0.36055,0.84396,0.9987,1,0.995,0.87767,0.55052,0.3095,0.82077,0.0003104,0.0003104,0.0003104
